temporada,torneo,jornada,fecha,hora,local,visitante,goles_local,goles_visitante,penales,pen_local,pen_visitante
2010/11,Apertura,1,2010-07-23,20:10,Estudiantes Tecos,Cruz Azul,0,3,False,,
2010/11,Apertura,1,2010-07-24,17:00,Jaguares Chiapas,Club Necaxa,1,1,False,,
2010/11,Apertura,1,2010-07-24,19:00,CF Pachuca,CF América,3,0,False,,
2010/11,Apertura,1,2010-07-24,,UANL Tigres,Gallos Blancos,0,1,False,,
2010/11,Apertura,1,2010-07-24,,Deportivo Guadalajara,Puebla FC,0,0,False,,
2010/11,Apertura,1,2010-07-24,20:45,Club San Luis,CF Monterrey,1,1,False,,
2010/11,Apertura,1,2010-07-24,21:00,Atlante,Santos Laguna,1,4,False,,
2010/11,Apertura,1,2010-07-25,12:00,Monarcas Morelia,Atlas Guadalajara,1,0,False,,
2010/11,Apertura,1,2010-07-25,,Pumas UNAM,Deportivo Toluca,2,1,False,,
2010/11,Apertura,2,2010-07-30,20:10,Club Necaxa,UANL Tigres,0,2,False,,
2010/11,Apertura,2,2010-07-31,17:00,Cruz Azul,Atlante,2,0,False,,
2010/11,Apertura,2,2010-07-31,,Gallos Blancos,Atlas Guadalajara,2,1,False,,
2010/11,Apertura,2,2010-07-31,19:00,CF Monterrey,Estudiantes Tecos,3,2,False,,
2010/11,Apertura,2,2010-07-31,,Santos Laguna,Pumas UNAM,4,0,False,,
2010/11,Apertura,2,2010-08-01,12:00,Deportivo Toluca,CF Pachuca,1,1,False,,
2010/11,Apertura,2,2010-08-01,,Puebla FC,Club San Luis,2,1,False,,
2010/11,Apertura,2,2010-08-01,16:30,CF América,Jaguares Chiapas,3,0,False,,
2010/11,Apertura,2,2010-10-06,20:45,Deportivo Guadalajara,Monarcas Morelia,0,1,False,,
2010/11,Apertura,3,2010-08-07,17:00,Jaguares Chiapas,Deportivo Toluca,1,1,False,,
2010/11,Apertura,3,2010-08-07,19:00,CF Pachuca,Santos Laguna,0,3,False,,
2010/11,Apertura,3,2010-08-07,,UANL Tigres,CF América,1,1,False,,
2010/11,Apertura,3,2010-08-07,20:45,Atlas Guadalajara,Club Necaxa,0,1,False,,
2010/11,Apertura,3,2010-08-07,,Club San Luis,Deportivo Guadalajara,0,1,False,,
2010/11,Apertura,3,2010-08-07,21:00,Atlante,CF Monterrey,1,2,False,,
2010/11,Apertura,3,2010-08-08,12:00,Monarcas Morelia,Gallos Blancos,6,0,False,,
